id,class,folder,signer,fps,video_length,n_frames,fframe_shape,lframe_shape,word_boundaries
0,c001,c001_1,1,29.998136761691818,5.367000000000001,161,"(360, 640, 3)","(64, 64, 3)","49,88,141"
1,c001,c001_2,1,29.875986471251412,5.322,159,"(360, 640, 3)","(64, 64, 3)","46,88,140"
2,c001,c001_3,1,29.87361164304864,5.222,156,"(360, 640, 3)","(64, 64, 3)","48,87,140"
3,c001,c001_4,1,29.880478087649397,5.522,165,"(360, 640, 3)","(64, 64, 3)","48,86,146"
4,c001,c001_5,1,29.882604055496262,5.622000000000001,168,"(360, 640, 3)","(64, 64, 3)","48,90,151"
5,c001,c001_6,1,29.880478087649397,5.522,165,"(360, 640, 3)","(64, 64, 3)","49,91,150"
6,c001,c001_7,1,29.882604055496262,5.622000000000001,168,"(360, 640, 3)","(64, 64, 3)","50,92,153"
7,c001,c001_8,1,29.888551165146907,5.9220000000000015,177,"(360, 640, 3)","(64, 64, 3)","55,102,166"
8,c001,c001_9,1,29.880478087649397,5.522,165,"(360, 640, 3)","(64, 64, 3)","52,91,150"
9,c002,c002_1,1,29.781601588352085,3.022,90,"(360, 640, 3)","(64, 64, 3)","31,72"
10,c002,c002_2,1,29.801324503311246,3.322,99,"(360, 640, 3)","(64, 64, 3)","39,81"
11,c002,c002_3,1,29.781601588352085,3.022,90,"(360, 640, 3)","(64, 64, 3)","32,73"
12,c002,c002_4,1,29.500301023479828,3.322,98,"(360, 640, 3)","(64, 64, 3)","36,76"
13,c002,c002_5,1,29.51490356516657,3.422,101,"(360, 640, 3)","(64, 64, 3)","34,79"
14,c002,c002_6,1,29.51490356516657,3.422,101,"(360, 640, 3)","(64, 64, 3)","37,79"
15,c002,c002_7,1,29.48479205462445,3.222,95,"(360, 640, 3)","(64, 64, 3)","34,72"
16,c002,c002_8,1,29.46828955797566,3.122,92,"(360, 640, 3)","(64, 64, 3)","31,73"
17,c002,c002_9,1,29.500301023479828,3.322,98,"(360, 640, 3)","(64, 64, 3)","33,78"
18,c003,c003_1,1,29.807130333138513,3.422,102,"(360, 640, 3)","(64, 64, 3)","48,81"
19,c003,c003_2,1,29.7951582867784,3.222,96,"(360, 640, 3)","(64, 64, 3)","47,80"
20,c003,c003_3,1,29.801324503311246,3.322,99,"(360, 640, 3)","(64, 64, 3)","49,81"
21,c003,c003_4,1,29.801324503311246,3.322,99,"(360, 640, 3)","(64, 64, 3)","46,81"
22,c003,c003_5,1,29.801324503311246,3.322,99,"(360, 640, 3)","(64, 64, 3)","46,80"
23,c003,c003_6,1,29.801324503311246,3.322,99,"(360, 640, 3)","(64, 64, 3)","46,82"
24,c003,c003_7,1,29.7951582867784,3.222,96,"(360, 640, 3)","(64, 64, 3)","47,82"
25,c003,c003_8,1,29.788597053171053,3.122,93,"(360, 640, 3)","(64, 64, 3)","45,80"
26,c003,c003_9,1,29.7741273100616,2.922,87,"(360, 640, 3)","(64, 64, 3)","43,75"
27,c004,c004_1,1,29.285099052540907,2.322,68,"(360, 640, 3)","(64, 64, 3)",47
28,c004,c004_2,1,29.31461601981833,2.422,71,"(360, 640, 3)","(64, 64, 3)",50
29,c004,c004_3,1,29.36689549961861,2.622,77,"(360, 640, 3)","(64, 64, 3)",53
30,c004,c004_4,1,29.411764705882355,2.822,83,"(360, 640, 3)","(64, 64, 3)",60
31,c004,c004_5,1,29.36689549961861,2.622,77,"(360, 640, 3)","(64, 64, 3)",56
32,c004,c004_6,1,29.390154298310065,2.722,80,"(360, 640, 3)","(64, 64, 3)",54
33,c004,c004_7,1,29.411764705882355,2.822,83,"(360, 640, 3)","(64, 64, 3)",62
34,c004,c004_8,1,29.411764705882355,2.822,83,"(360, 640, 3)","(64, 64, 3)",61
35,c004,c004_9,1,29.31461601981833,2.422,71,"(360, 640, 3)","(64, 64, 3)",47
36,c005,c005_1,1,29.61591855622397,4.322,128,"(360, 640, 3)","(64, 64, 3)","30,80,111"
37,c005,c005_2,1,29.58727001491795,4.022,119,"(360, 640, 3)","(64, 64, 3)","29,77,104"
38,c005,c005_3,1,29.60682141165325,4.222,125,"(360, 640, 3)","(64, 64, 3)","30,78,109"
39,c005,c005_4,1,29.60682141165325,4.222,125,"(360, 640, 3)","(64, 64, 3)","26,76,108"
40,c005,c005_5,1,29.59728287239205,4.122,122,"(360, 640, 3)","(64, 64, 3)","29,78,107"
41,c005,c005_6,1,29.59728287239205,4.122,122,"(360, 640, 3)","(64, 64, 3)","30,77,106"
42,c005,c005_7,1,29.58727001491795,4.022,119,"(360, 640, 3)","(64, 64, 3)","28,74,103"
43,c005,c005_8,1,29.59728287239205,4.122,122,"(360, 640, 3)","(64, 64, 3)","32,75,107"
44,c005,c005_9,1,29.57674655787863,3.922,116,"(360, 640, 3)","(64, 64, 3)","33,79,101"
45,c006,c006_1,1,29.31461601981833,2.422,71,"(360, 640, 3)","(64, 64, 3)","27,57"
46,c006,c006_2,1,29.285099052540907,2.322,68,"(360, 640, 3)","(64, 64, 3)","24,52"
47,c006,c006_3,1,29.25292529252925,2.222,65,"(360, 640, 3)","(64, 64, 3)","27,54"
48,c006,c006_4,1,29.341792228390172,2.522,74,"(360, 640, 3)","(64, 64, 3)","35,64"
49,c006,c006_5,1,29.31461601981833,2.422,71,"(360, 640, 3)","(64, 64, 3)","27,59"
50,c006,c006_6,1,29.31461601981833,2.422,71,"(360, 640, 3)","(64, 64, 3)","28,57"
51,c006,c006_7,1,29.341792228390172,2.522,74,"(360, 640, 3)","(64, 64, 3)","30,61"
52,c006,c006_8,1,29.390154298310065,2.722,80,"(360, 640, 3)","(64, 64, 3)","36,70"
53,c006,c006_9,1,29.36689549961861,2.622,77,"(360, 640, 3)","(64, 64, 3)","32,68"
54,c007,c007_1,1,29.528676888131752,3.522,104,"(360, 640, 3)","(64, 64, 3)","32,90"
55,c007,c007_2,1,29.541689674213142,3.622,107,"(360, 640, 3)","(64, 64, 3)","38,93"
56,c007,c007_3,1,29.51490356516657,3.422,101,"(360, 640, 3)","(64, 64, 3)","32,87"
57,c007,c007_4,1,29.541689674213142,3.622,107,"(360, 640, 3)","(64, 64, 3)","32,92"
58,c007,c007_5,1,29.56567242281528,3.822,113,"(360, 640, 3)","(64, 64, 3)","43,99"
59,c007,c007_6,1,29.554003224073075,3.722,110,"(360, 640, 3)","(64, 64, 3)","34,94"
60,c007,c007_7,1,29.554003224073075,3.722,110,"(360, 640, 3)","(64, 64, 3)","35,94"
61,c007,c007_8,1,29.541689674213142,3.622,107,"(360, 640, 3)","(64, 64, 3)","34,94"
62,c007,c007_9,1,29.541689674213142,3.622,107,"(360, 640, 3)","(64, 64, 3)","34,94"
63,c008,c008_1,1,29.500301023479828,3.322,98,"(360, 640, 3)","(64, 64, 3)","31,87"
64,c008,c008_2,1,29.500301023479828,3.322,98,"(360, 640, 3)","(64, 64, 3)","28,86"
65,c008,c008_3,1,29.51490356516657,3.422,101,"(360, 640, 3)","(64, 64, 3)","30,89"
66,c008,c008_4,1,29.46828955797566,3.122,92,"(360, 640, 3)","(64, 64, 3)","25,80"
67,c008,c008_5,1,29.51490356516657,3.422,101,"(360, 640, 3)","(64, 64, 3)","33,89"
68,c008,c008_6,1,29.51490356516657,3.422,101,"(360, 640, 3)","(64, 64, 3)","27,87"
69,c008,c008_7,1,29.51490356516657,3.422,101,"(360, 640, 3)","(64, 64, 3)","30,88"
70,c008,c008_8,1,29.500301023479828,3.322,98,"(360, 640, 3)","(64, 64, 3)","28,84"
71,c008,c008_9,1,29.51490356516657,3.422,101,"(360, 640, 3)","(64, 64, 3)","31,91"
72,c009,c009_1,1,29.31461601981833,2.422,71,"(360, 640, 3)","(64, 64, 3)",55
73,c009,c009_2,1,29.25292529252925,2.222,65,"(360, 640, 3)","(64, 64, 3)",48
74,c009,c009_3,1,29.31461601981833,2.422,71,"(360, 640, 3)","(64, 64, 3)",49
75,c009,c009_4,1,29.31461601981833,2.422,71,"(360, 640, 3)","(64, 64, 3)",50
76,c009,c009_5,1,29.31461601981833,2.422,71,"(360, 640, 3)","(64, 64, 3)",50
77,c009,c009_6,1,29.36689549961861,2.622,77,"(360, 640, 3)","(64, 64, 3)",55
78,c009,c009_7,1,29.36689549961861,2.622,77,"(360, 640, 3)","(64, 64, 3)",56
79,c009,c009_8,1,29.341792228390172,2.522,74,"(360, 640, 3)","(64, 64, 3)",56
80,c009,c009_9,1,29.341792228390172,2.522,74,"(360, 640, 3)","(64, 64, 3)",47
81,c010,c010_1,1,29.43189596167009,2.922,86,"(360, 640, 3)","(64, 64, 3)","44,73"
82,c010,c010_2,1,29.46828955797566,3.122,92,"(360, 640, 3)","(64, 64, 3)","45,78"
83,c010,c010_3,1,29.48479205462445,3.222,95,"(360, 640, 3)","(64, 64, 3)","47,80"
84,c010,c010_4,1,29.528676888131752,3.522,104,"(360, 640, 3)","(64, 64, 3)","48,85"
85,c010,c010_5,1,29.500301023479828,3.322,98,"(360, 640, 3)","(64, 64, 3)","50,84"
86,c010,c010_6,1,29.500301023479828,3.322,98,"(360, 640, 3)","(64, 64, 3)","50,85"
87,c010,c010_7,1,29.500301023479828,3.322,98,"(360, 640, 3)","(64, 64, 3)","46,80"
88,c010,c010_8,1,29.51490356516657,3.422,101,"(360, 640, 3)","(64, 64, 3)","48,81"
89,c010,c010_9,1,29.51490356516657,3.422,101,"(360, 640, 3)","(64, 64, 3)","49,85"
90,c011,c011_1,1,29.341792228390172,2.522,74,"(360, 640, 3)","(64, 64, 3)",55
91,c011,c011_2,1,29.36689549961861,2.622,77,"(360, 640, 3)","(64, 64, 3)",59
92,c011,c011_3,1,29.36689549961861,2.622,77,"(360, 640, 3)","(64, 64, 3)",59
93,c011,c011_4,1,29.36689549961861,2.622,77,"(360, 640, 3)","(64, 64, 3)",57
94,c011,c011_5,1,29.411764705882355,2.822,83,"(360, 640, 3)","(64, 64, 3)",62
95,c011,c011_6,1,29.36689549961861,2.622,77,"(360, 640, 3)","(64, 64, 3)",53
